Receiving Report #,Item #,Item Type,Category,PP Deck (Y/N),Ownership,Condition,SKU,DONATION FY26 (Y/N),Notes,Availability, Retail($) ,Cost($),,Dest (Y/N),RETAIL YEAR
006311506,,(LAMP SHADE)-RL3080PN-WP,Lighting,,,,,,,0,0,0,,Y,#N/A
006311507,,(LAMP SHADE)-RL61004SH,Lighting,,,,,,,0,0,0,,,
006314391,,"16.75"" OVAL LINEN SHADE",Lighting,,,,,,,0,0,0,,,
006311505,,17x18x13.5L (LAMP SHADE),Lighting,,,,,,,0,0,0,,,
007001179,,ADRIANNA MEDIUM CHANGELIER,Lighting,,,,26793299,,,0," $9,969 "," $1,880 ",,Y,2011
006316348,,"22"" THROW PILLOWS",Furniture,,Visual,Display,,,,Sellable, $-   , $-   ,,Y,#N/A
006318921,,3 PILLOW CASES,Furniture,,Visual,Display,,, ,Sellable, $-   , $-   ,,,#N/A
007001153,,ALASTAIR DINING ARM CHAIR,Furniture,,Polo,Display,45261138,,,Sellable," $4,052 "," $1,446 ",, Y ,2020
007003133,,ALLEGRA 6 LIGHT CHANDELIER,Lighting,,,Display,,,,0, $-   , $-   ,, Y ,#N/A
007001721,,ALLEYN DINING TABLE,Furniture,,Polo,Display,42448423,,,Sellable," $16,485 "," $4,121 ",,,2019
006298520,,RIVER REED STRIPE RUG,Rug,,,,,,,0, $-   , $-   ,,,#N/A
007002887,,ALWYN ACCENT TABLE,Furniture,,Polo,Display,74544230,,,0," $2,685 ", $658 ,,,2024
006316626,,ALLEGRA IRON CHANDELIER,Lighting,,,,,,,0, $-   , $-   ,, Y ,#N/A
007002620,,ALLEGRA MEDIUM CHANDELIER IN AGED IRON,Lighting,,,Display,42282657,,,0," $3,000 ", $588 ,, Y ,2019
006310374,,ALLEN DOUBLE LIGHT SCONCE PN / RL2082PN,Lighting,,,,42515320,,,0, $685 , $171 ,, Y ,2019
007002879,,ANTIQUE ROUND TABLE BASE,Furniture,,Visual,Display,,,,0, $-   , $-   ,,,#N/A
006294868,,ALLEN FLOOR LAMP IN POLISHED,Lighting,,,,,,,0, $-   , $-   ,, Y ,#N/A
007002850,,"ALLEN MEDIUM LINEAR SCONCE, PN",Lighting,,,Display,42556217,,,0," $1,219 ", $249 ,, Y ,2013
007003127,,ANTIQUE ROUND TABLE TOP,Furniture,,Visual,Display,,,,Sellable, $-   , $-   ,,,#N/A
007002557,,ARAN ISLES OTTOMAN,Furniture,,Stacy,Display,46192233,,,0," $2,994 ", $782 ,,,2024
006308350,,ARCHED KING BED FB/39601-12,Furniture,,Polo,Display,41801002,,,Sellable," $6,177 "," $1,181 ",, Y ,2019
007002851,,"ALLEN MEDIUM LINEAR SCONCE, PN",Lighting,,,Display,42556217,,,0," $1,219 ", $249 ,, Y ,2013
006306723,,ALLEN SINGLE SCONCE IN PN/RL2080PN,Lighting,,,,42556233,,,0, $649 , $146 ,, Y ,2011
006306724,,ALLEN SINGLE SCONCE IN PN/RL2080PN,Lighting,,,,42556233,,,0, $649 , $146 ,, Y ,2011
007002583,,ALLEN TABLE LAMP,Lighting,,,,42485201,,,0," $1,075 ", $251 ,, Y ,2019
007002559,,ALLEN TABLE LAMP IN NB,Lighting,,,Display,40062937,,,0," $1,339 ", $312 ,, Y ,2013
006315095,,ALLEN TABLE LAMP PN (BASE) / RL3082PN-WP,Lighting,,,,42485201,,,0," $1,075 ", $251 ,, Y ,2019
006318864,,ALLEN TABLE LAMP PN (BASE) / RL3082PN-WP,Lighting,,,,42485201,,,0," $1,075 ", $251 ,, Y ,2019
007003120,,ANCASTER LANTERN,Lighting,,,Display,43833250,,,0," $2,529 ", $554 ,, Y ,2024
006306726,,"ANETTE 16"" (MEDIUM) PICTURE LIGHT BZ / RL2276BZ",Lighting,,,,42556290,,,0, $929 , $182 ,, Y ,2011
006306728,,"ANETTE 16"" (MEDIUM) PICTURE LIGHT BZ / RL2276BZ",Lighting,,,,42556290,,,0, $929 , $182 ,, Y ,2011
006311503,,"ANETTE 16"" PICTURE LIGHT IN NB-RL2276NB",Lighting,,,,42556308,,,0, $929 , $211 ,, Y ,2011
