"BARCODE","AVAILABILITY","DESCRIPTION","DEPARTMENT","TYPE","IMAGES","CONDITION","COLOR","DIMENSIONS","TAGS","CONDITION CHECKS","RESERVED WBS","LOCATION","ORIGINAL ACQUISITION VALUE","HISTORY","HOME WAREHOUSE","CONTAINER","LAST SEEN IN CONTAINER","BARCODE IMAGES","ASSET USAGE","SIDEMARK ROOM"
"=""006316601""","Unavailable","ROUND WHITE PAPER CLOSED TOP SHADE","Home 888 Madison","Home-LIGHTING","https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_3_1741637850469/1741637719997.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/006316601.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/006316601..JPG,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_4_1741637851361/1741637728247.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_5_1741637852255/1741637737942.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_6_1741637853166/1741637748458.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_7_1741637854076/1741637806073.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_8_1741637855122/1741637828018.jpg","OLD BARCODE #61425-235-002RL 3492BRN WP MINOR MARKS","WHITE","18 x 18 x 12 Inches","","","E-12016.16LIC.15.13","LIC",,"History","LIC","W01-13-01-BB","Fri, Apr 4, 2025 1:35 PM","006316601","E-12016.16LIC.15.13 - Fri, April 4, 2025 - Fri, April 4, 2025","STUART WOODS / FOR RL3492BRN-WP / RL235-002"
"=""007002553""","Available","HIGHCROFT LARGE TABLE LAMP SHADE","Home 888 Madison","Home-LIGHTING","https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_6_1742586360524/1742586220630.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_1_1716296531355/1716296479557.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_2_1716296532352/1716296505948.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_3_1716296533360/1716296512603.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_4_1716296534233/1716296520730.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_5_1716296535179/1716296529016.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_7_1742586361671/1742586291593.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_8_1742586362625/1742586273697.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_9_1742586363596/1742586317098.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_10_1742586364617/1742586341991.jpg","GOES WITH HIGHCROFT LARGE TABLE LAMP: 007002552. MINOR MARKS VISIBLE TO SHADE ON INNER AND OUTER SIDES.","WHITE","18 x 12.5 x 12 Inches","","",,"LIC",,"History","LIC","W01-14-06-BB","Fri, Apr 4, 2025 1:47 PM","007002553","","SP24 CHANGEOVER / 888 STOCK / RETURN FROM 888"
"=""007003417""","Available","BARRETT KNURLED BOOM-ARM DESK LIGHT","Home 888 Madison","Home-LIGHTING","https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_10_1740684453375/1740684443700.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_1_1729604803140/1729604660225.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_2_1729604804012/1729604683625.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_3_1729604804914/1729604688926.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_4_1729604805922/1729604694677.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_5_1729604806776/1729604699280.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_6_1729604807668/1729604703852.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_7_1729604808574/1729604710566.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_8_1729604809543/1729604716182.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_9_1729604810471/1729604722375.jpg","MULTIPLE SCRATCHES AND MULTIPLE PRINT MARKS TO BRASS ON ALL SIDES AND ON BASE. DISCOLORATION ALSO VISIBLE THROUGHOUT.","NATURAL BRASS","36 x 9 x 20 Inches","","",,"LIC",,"History","LIC","W01-14-04-AA","Fri, Apr 4, 2025 10:26 AM","007003417","","888 STOCK"
"=""006310188""","Available","SQUARE CLOSED TOP PERCAL TO RL3966PN/Q-P","Home 888 Madison","Home-LIGHTING","https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/006310188.JPG,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/IMG_8573.JPG","GOES WITH 006310187","WHITE","16 x 16 x 12 Inches","","",,"LIC",,"History","LIC","W01-14-04-AA","Fri, Apr 4, 2025 10:26 AM","006310188","","MD311 / FA19 CHANGEOVER / MD311"
"=""006315105""","Available","DALEY MEDUIM SIX LIGHT CHANDELIER PN / RL5322PN-CA","Home 888 Madison","Home-LIGHTING","https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_4_1735220782188/1735220553895.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/006315105.JPG,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/006315105 (2).JPG,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_3_1735220781272/1735220531521.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_5_1735220783057/1735220563260.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_6_1735220783975/1735220575638.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_7_1735220784944/1735220586285.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_8_1735220785980/1735220646686.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_9_1735220786995/1735220676164.jpg","SOME FINGERPRINTS ON CHANDELIER","POLISHED NICKEL","59 x 7 x 31.5 Inches","","",,"LIC",,"History","LIC","W01-15-02-AA","Thu, Apr 3, 2025 2:51 PM","006315105","","RL5322PN-CA / 888 STOCK"
"=""007003443""","Available","BOXED CARTHAGE TL","Home 888 Madison","Home-LIGHTING","https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_1_1732299573101/1732299566196.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_2_1732299574319/1732299571996.jpg","MINOR MARKS","NATURAL BRASS","28 x 16 x 14 Inches","","",,"LIC",,"History","LIC","W01-14-03-AA","Thu, Apr 3, 2025 2:50 PM","007003443","","888 STOCK"
"=""007003445""","Available","BOXED FLOOR LAMP","Home 888 Madison","Home-LIGHTING","https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_1_1732297624597/1732297611950.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_2_1732297625656/1732297623113.jpg","MINOR SCRATCHES ON LAMP PIECES SEPARATED IN BOX.","POLISHED NICKEL","43 x 13 x 7 Inches","","",,"LIC",,"History","LIC","W01-14-03-BB","Thu, Apr 3, 2025 2:49 PM","007003445","","888 STOCK"
"=""007003276""","Available","ANNETTE FLOOR LAMP PN","Home 888 Madison","Home-LIGHTING","https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_2_1726692048402/1726692040550.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_1_1726692047316/1726692037805.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_3_1726692051544/1726692043232.jpg","MINOR SCRATCHES ON LAMP PACK IN PARTS INBOX . COMES WITH HARDWARE AND INSTRUCTIONS INSIDE BOX.","POLISHED NICKEL","43 x 13 x 7.5 Inches","","",,"LIC",,"History","LIC","W01-14-03-BB","Thu, Apr 3, 2025 2:49 PM","007003276","","888 STOCK"
"=""007003442""","Available","BOXED CARTHAGE TABLE LAMP","Home 888 Madison","Home-LIGHTING","https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_2_1732229420080/1732229405416.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/_1731686291077/IMG_2535.jpeg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_3_1732229423191/1732229411712.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_4_1732229426582/1732229414174.jpg","MINOR SCRATCHES COMES WITH HARDWARE AND INSTRUCTIONS INSIDE BOX","NATURAL BRASS","27 x 15.5 x 14 Inches","","",,"LIC",,"History","LIC","W01-14-03-AA","Thu, Apr 3, 2025 1:56 PM","007003442","","888 STOCK RETURN"
"=""006315109""","Available","BARRETT LARGE KNURLED FLOOR  SHADE","Home 888 Madison","Home-LIGHTING","https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_2_1734361111372/1734360908333.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_1_1734361110446/1734360880601.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/98455810_lamp & shade.JPG,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_4_1734361112312/1734360953209.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_5_1734361113174/1734361041466.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_6_1734361114037/1734361101255.jpg","LOOSE THREADS IN TWO AREAS","WHITE","22 x 22 x 13 Inches","","",,"LIC",,"History","LIC","W01-14-04-BB","Thu, Apr 3, 2025 1:56 PM","006315109","","RL1090PN-L SHADE / 888 STOCK / FA20 CHANGEOVER"
"=""007002854""","Available","EQUILIBRIUM FL, PN","Home 888 Madison","Home-LIGHTING","https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_10_1736361661593/1736361640555.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_1_1723643444341/1723643304851.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_2_1723643445221/1723643319662.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_3_1723643446194/1723643325525.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_4_1723643447211/1723643333448.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_5_1723643448161/1723643341193.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_6_1723643449161/1723643356317.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_7_1723643450246/1723643364514.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_8_1723643451189/1723643373038.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_10_1736362051838/1736361899865.jpg","CHROME HAS MULTIPLE SCRATCHES AND PRINT MARKS VISBLE THROUGHOUT. DUSTING VISIBLE TO BASE AND MISSING A SCREW TO THE HEAD OF THE LAMP","POLISHED NICKEL","11 x 11 x 55.5 Inches","","","E-99999.01500.NY","LIC",,"History","LIC","W01-14-06-AA","Thu, Apr 3, 2025 1:56 PM","007002854","","SP24 CHANGOVER / 888 STOCK"
"=""007001913""","Available","PAPER LAMP SHADE","Home 888 Madison","Home-LIGHTING","https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_3_1736355985051/1736355597905.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_1_1695655507932/1695655507045.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_2_1695655521238/1695655520547.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_4_1736355986058/1736355610244.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_5_1736355986939/1736355656499.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_6_1736355987886/1736355682683.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_7_1736355988786/1736355697231.jpg","MINOR MARKS AND THE PIECE IS WRAPPED IN PLASTIC AND PLACED INTO A BOX. GOES WITH LAMP: 007001914","WHITE","26 x 26 x 14 Inches","","",,"LIC",,"History","LIC","W01-13-01-AA","Thu, Apr 3, 2025 1:55 PM","007001913","","HOME FA23 VISUAL COMFORT VIA FED EX"
"=""007002853""","Available","EQUILIBRIUM FLOOR LAMP","Home 888 Madison","Home-LIGHTING","https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_8_1736359176435/1736359085220.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_1_1723644364033/1723644296514.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_2_1723644364942/1723644309402.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_3_1723644365853/1723644315692.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_4_1723644366739/1723644339865.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_5_1723644367691/1723644347063.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_6_1723644368696/1723644353420.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_7_1723644369726/1723644359897.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_9_1736359177411/1736359126380.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_10_1736359178437/1736359168518.jpg","CHROME HAS MULTIPLE SMEAR MARKS AND SCRATCHES VISIBLE THROUGHOUT. DUSTING AND PRINT MARKS VISIBLE TO HEAD AND BASE OF PIECE.","POLISHED NICKEL","11 x 11 x 55.5 Inches","","","E-99999.01500.NY","LIC",,"History","LIC","W01-14-06-AA","Thu, Apr 3, 2025 1:55 PM","007002853","","SP24 CHANGOVER / 888 STOCK"
"=""006311510""","Available","SCONCE PLUS TWO METAL SHADES-RL2252PN","Home 888 Madison","Home-LIGHTING","https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/006311510.JPG,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/006311510 (2).JPG,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/006311510 (3).JPG,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/006311510 (4).JPG","-HARDWARE INSIDEone of the metal shade has a stain mark","POLISHED NICKEL","12 x 5 x 5 Inches","","",,"LIC",,"History","LIC","W01-14-04-BB","Thu, Apr 3, 2025 1:55 PM","006311510","","888 STOCK"
"=""006310361""","Available","BROMPTON SWING ARM TABLE LAMP IN NB/RL3501NB","Home 888 Madison","Home-LIGHTING","https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/006310361.JPG,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/IMG_8299.JPG,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/IMG_8300.JPG,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_4_1742414904300/1742414658379.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_5_1742414905254/1742414723689.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_6_1742414906149/1742414734271.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_7_1742414907112/1742414743515.jpg","TARNISHED AND SMALL MARKS","NATURAL BRASS","8.5 x 14.5 x 29.5 Inches","","","E-99999.01500.NY","LIC",,"History","LIC","W01-14-03-AA","Thu, Apr 3, 2025 1:54 PM","006310361","E-12016.16LIC.15.13 - Fri, April 4, 2025 - Fri, April 4, 2025","888 STOCK"
"=""007003129""","Available","DANIELLA TABLE LAMP","Home 888 Madison","Home-LIGHTING","https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_1_1725547210523/1725547080940.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_2_1725547211385/1725547092093.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_3_1725547212276/1725547108490.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_4_1725547213171/1725547141238.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_5_1725547214056/1725547174715.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_6_1725547214946/1725547204897.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_7_1742413153204/1742413055074.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_8_1742413154177/1742413133740.jpg","LIGHT SCRATCHES TO THE BASE AND THE HARP","CLEAR","7.5 x 7.5 x 28 Inches","","",,"LIC",,"History","LIC","W01-14-03-BB","Thu, Apr 3, 2025 1:54 PM","007003129","","SP24 CHANGOVER / 888 STOCK"
